shelter_name,shelter_id,latitude,longitude,gen,bez,nuts,nuts2,bundesland
Frauenhaus Köthen,2161,51.75046975,11.988520313845,Anhalt-Bitterfeld,Landkreis,DEE05,DEE,Sachsen-Anhalt
Frauenschutzhaus Wittenberg,2319,51.869377514536,12.646353310986001,Wittenberg,Landkreis,DEE0E,DEE,Sachsen-Anhalt
Frauenschutzhaus Magdeburg,2031,52.109112469784,11.635762688513,Magdeburg,Kreisfreie Stadt,DEE03,DEE,Sachsen-Anhalt
Frauen- und Kinderschutzhaus Merseburg,2030,51.3568506,11.9904345,Saalekreis,Landkreis,DEE0B,DEE,Sachsen-Anhalt
Frauen- und Kinderhaus Salzwedel,2251,52.851333063238,11.154713708822,Altmarkkreis Salzwedel,Landkreis,DEE04,DEE,Sachsen-Anhalt
Frauen- und Kinderschutzhaus Sangerhausen,2058,51.4798304,11.2943896,Mansfeld-Südharz,Landkreis,DEE0A,DEE,Sachsen-Anhalt
Frauen- und Kinderschutzhaus Staßfurt,2175,51.846982652569,11.592657358624,Salzlandkreis,Landkreis,DEE0C,DEE,Sachsen-Anhalt
Frauenhaus Stendal,2028,52.605557128017,11.847668159234999,Stendal,Landkreis,DEE0D,DEE,Sachsen-Anhalt
Frauenhaus Weißenfels,2168,51.2046563,11.9710163,Burgenlandkreis,Landkreis,DEE08,DEE,Sachsen-Anhalt
Kinder- und Frauenschutzwohnung der Stadt Wernigerode,2287,51.839931701364,10.783901991418,Harz,Landkreis,DEE09,DEE,Sachsen-Anhalt
Frauen- und Kinderschutzwohnung Vogtlandkreis,2351,50.50646945,12.404751585779,Vogtlandkreis,Landkreis,DED44,DED,Sachsen
Frauenschutzhaus Bautzen,2179,51.182292413586,14.424013712134,Bautzen,Landkreis,DED2C,DED,Sachsen
Frauen- und Kinderschutzhaus Landkreis Leipzig,2003,51.124032663272,12.506939561096,Leipzig,Landkreis,DED52,DED,Sachsen
Frauenschutzangebot,2210,50.4756535,12.7667543,Erzgebirgskreis,Landkreis,DED42,DED,Sachsen
Frauenhaus Chemnitz,2099,50.832365999642,12.920172846924,Chemnitz,Kreisfreie Stadt,DED41,DED,Sachsen
Frauenschutzhaus Dresden,2087,51.0504088,13.7372621,Dresden,Kreisfreie Stadt,DED21,DED,Sachsen
Frauenschutzhaus Freiberg,2083,50.895481287937,13.333490439612,Mittelsachsen,Landkreis,DED43,DED,Sachsen
Zentrale Sofortaufnahme der Frauen*- und Kinderschutzhäuser Leipzig,2056,51.3844702,12.3160085,Leipzig,Kreisfreie Stadt,DED51,DED,Sachsen
